zh,en
"I'm in a hurry. - Gloria, I'm crazy about you.","- Gloria, I'm crazy about you."
不要这样做。 Don't do that.,Don't do that.
"我会让你喜欢我的吻，小恶魔。 I'll make you like my kisses, you little devil.","I'll make you like my kisses, you little devil."
"让我告诉你，宝贝。 Let me tell you something, baby.","Let me tell you something, baby."
我一夜之间就能再赚一笔钱。 I can get another mooney for this act overnight.,I can get another Mooney for this act overnight.
"嘿,漂亮。 到这里来。 Hey, gorgeous.","Hey, gorgeous."
Come here.,Come here.
哦，你好。 你是米勒先生，对吗?,"Oh, how do you de?"
"Oh, how do you do? You're Mr. Miller, aren't you?","You're Mr. Miller, aren't you?"
"你说对了，宝贝。 You said it, baby.","You said it, baby."
我想和你谈谈。 I'd like to have a little talk with you.,I'd like to have a little talk with you.
请到我办公室来好吗? Won't you come into my office?,Won't you come into my office?
我觉得你很性感。 And I think you're plenty hot.,And I think you're plenty hat.
"哦,米勒先生。 Oh, Mr. Miller.","Oh, Mr. Miller."
"当我观察你的日常工作时，我有了一个主意。 While I was watching your routine work, I got an idea.","While I was watching your routine work, I got an idea."
"哦,米勒先生! Oh, Mr. Miller!","Oh, Mr. Miller!"
"穆尼和我不是很合得来。 You know, mooney and I don't hit it off so well together.","You know, Mooney and I don't hit it off so well together."
"除了行动迟缓之外，她的脾气也不好。 Besides being slow on her feet, she's got a bad disposition.","Besides being slow on her feet, she's got a bad disposition."
我想也许你愿意代替她。 And I thought maybe you'd like to take her place.,And I thought maybe you'd like to take her place.
"喂，我有个主意。 Say, I've got an idea.","Say, I've got an idea."
在这里你永远看不出来。 大耳朵太多了。 You never can tell around here.,You never can tell around here.
There are too many big ears.,There are too many big ears.
好吗? Well?,Well?
你说呢? What do you say?,What do you say?
来个吻就搞定了? How about a little kiss to seal the bargain?,How about a little kiss to seal the bargain?
怎么了? 你和米勒吵架了吗?,What's the matter?
What's the matter? Did you and Miller have a fight?,Did you and Miller have a fight?
——什么时候?,- When?
-她现在在里面。 - When? - She's in there now.,- She's in there now.
你一定做了什么让他生气的事。 是什么? You must have done something to make him mad.,You must have done something to make him mad.
What was it?,What was it?
我有点痛，我告诉他在哪里下车。 I got a little sore and I told him where to get off at.,I got a little sore and I told him where to get off at.
我就知道不该丢下你一个人。 I knew I shouldn't leave you alone.,I knew I shouldn't leave you alone.
"每次我这么做，你都把事情搞砸。 Every time I do, you mess things up.","Every time I do, you mess things up."
如果他把你赶出去，我们该怎么办? What are we gonna do if he kicks you out?,What are we gonna do if he kicks you out?
"抱歉，妈，但那不是我们表演的一部分。 I'm sorry, ma, but that's not part of our act.","I'm sorry, Ma, but that's not part of our act."
接下来是米勒和穆尼。 Miller and mooney on next.,Miller and Mooney on next.
——好的。 -快给我介绍一下，好吗?,- All right.
"- All right. - Hook me up quick, will you?","- Hook me up quick, will you?"
"你好,你好。 Hello, hello.","Hello, hello."
"米勒先生，轮到你了。 Mr. Miller, you're on.","Mr. Miler, you're on."
是吗?,Yes?
我做得怎么样? Yes? How am I doing?,How am I doing?
"如果你再开口，我就说错话了。 And if you ever open your mouth again, I'll put my foot in it.","And if you ever open your mouth again, I'll put my foot in it."
好吧。 All right.,All right.
"对不起，米勒先生。 我不是那个意思。 I'm sorry, Mr.","I'm sorry, Mr. Miller."
Miller. I didn't mean that.,I didn't mean that.
这是你最后一次把我烧得浑身冰凉。 That's the last time you're gonna burn me up and knock me cold.,That's the last time you're gonna bum me up and knock me cold.
我只是在开玩笑。 I was only joking.,I was only joking.
我想要你做的就是继续表演。 All I want you to do is go on and do the act.,All I want you to do is go on and do the act.
"这是你想看的表演吗，夏普先生? Is this the act you want to see, Mr. Sharpe?","Is this the act you want to see, Mr. Sharpe?"
这是新的mooney。 我想知道它们是怎么连在一起的。,That's the new Mooney.
That's the new mooney. I wonder how they're hooked up.,I wonder how they're hooked up.
我想他们根本没在一起。 I don't suppose they're hooked up at all.,I don't suppose they're hooked up at all.
我知道他每隔几周就换一次。 I understand he has a new mooney every few weeks.,I understand he has a new Mooney every few weeks.
你觉得这个表演怎么样? How do you like the act?,How do you like the act?
好的。 我们回去看看吧。,All right.
All right. Let's go back and see them.,Let's go back and see them.
"哦,米勒先生。 歌洛莉亚的事我很抱歉。","Oh, Mr. Miller."
"Oh, Mr. Miller. I'm sorry about Gloria.",I'm sorry about Gloria.
但我相信我能搞定一切。 But I'm sure I can fix everything.,But I'm sure I can fix everything.
"-你能行，是吗? -是的。 - Oh, you can, can you?","- Oh, you can, can you?"
- Yes.,- Yes.
"好吧，没什么好解决的。 Well, there's nothing to fix.","Well, there's nothing to fix."
"嗨,丹尼。 丹尼。 Hey, Danny.","Hey, Danny."
Danny.,Danny.
你知道夏普在外面吗? Did you know sharpe was outside?,Did you know Sharpe was outside?
"-你是说齐格飞的斯坦利·夏普吗? -是的。 - You mean Stanley sharpe, from Ziegfeld?","- You mean Stanley Sharpe, from Ziegfeld?"
- Yeah.,- Yeah.
"老家伙斯坦利，是吗? Old boy Stanley, eh?","Old boy Stanley, en?"
我猜是瑞吉派他来让我签下赛季的。 I guess Ziggy sent him on to get me to sign for next season.,I guess Ziggy sent him on to get me to sign for next season.
"他也会跟你说的，宝贝。 Well, he'll lay it on the line too, baby.","Well, he'll lay it on the line too, baby."
"""我是米勒。"" ""This is Miller speaking.""","""This is Miller speaking."""
哦! Oh!,Oht
"你好,夏普先生。 Hello, Mr. Sharpe.","Hello, Mr. Sharpe."
我是米勒。 你知道，米勒和穆尼的米勒。,I'm Miller.
"I'm Miller. You know, Miller of Miller and mooney.","You know, Miller of Miller and Mooney."
"-是啊，我刚碰到你。 -哦,是吗? - Yeah, I just caught you.","- Yeah, I just caught you."
"- Oh, yeah?","- Oh, yeah?"
"你觉得怎么样，嗯? 很好,不是吗? How'd you like it, eh?","How'd you like it, eh?"
"Pretty good, huh?","Pretty good, huh?"
是的。,Yeah.
"顺便问一下，穆尼怎么样? Yeah. By the way, how about mooney?","By the way, how about Mooney?"
"哦,钱吗?","Oh, money?"
"我们可以一起商量，夏普先生。 Oh, money? We can get together on that, all right, Mr.","We can get together on that, all right, Mr. Sharpe."
Sharpe. 你是怎么勾搭上的? How are you hooked up?,How are you hooked up?
你知道的。,You know.
我设法每周都存一点... ... 不，老头，你误会我了。,I manage to put away a little something every week...
I manage to put away a little something every week...,"No, old man, you got me wrong."
"No, old man, you got me wrong. I mean the girl, mooney, your partner.","I mean the girl, Mooney, your partner."
"哦,我明白了。 Oh, I see.","Oh, I see."
你的意思是... ... 我们已经连接好了。,You mean...
We're hooked up all right.,We're hooked up all right.
"你知道,合作伙伴。 You know, partners.","You know, partners."
当然，这孩子还是个新手，但是... 我想再努力一点，我就能让她成功了。,"Of course, the kid's a little new yet, but..."
那个女孩在哪里? 我想和她谈谈。,Where is the girl?
Where is the girl? I'd like to have a chat with her.,I'd like to have a chat with her.
"夏普先生，演出结束后她就躲起来了。 She had to duck right after the performance, Mr. Sharpe.","She had to duck right after the performance, Mr. Sharpe."
为那些大型派对跳舞。 Dancing for one of those big parties.,Dancing for one of those big parties.
连换装的时间都没有。 Didn't even have time to change her costume.,Didn't even have time to change her costume.
太糟糕了。 我真想看看她。,Too bad.
Too bad. I'd like to have seen her.,I'd like to have seen her.
"我会告诉她你打过电话。 Oh, I'll tell her you called.","Oh, I'll tell her you called."
"我会带她来见你的，夏普先生。 I'll bring her around to see you, Mr. Sharpe.","I'll bring her around to see you, Mr. Sharpe."
我想你在黑石酒店吧。 I suppose you're at the blackstone.,I suppose you're at the Blackstone.
没有麻烦。 我待会再和她联系。,No trouble.
No trouble. I'll get in touch with her later.,I'll get in touch with her later.
"哦，没问题，夏普先生。 Oh, no trouble, Mr. Sharpe.","Oh, no trouble, Mr. Sharpe."
"为了齐格飞我高兴死了。 Say, I'm tickled to death to do it for Ziegfeld.","Say, I'm tickled to death to do it for Ziegfeld."
"好吧,好吧。 Well, all right.","Well, all right."
你说得对，丹尼。 让他写在虚线上。,"You were right, Danny."
"You were right, Danny. Make him put it on the dotted line.",Make him put it on the dotted line.
让他知道我是米勒。 Let him know it's Miller speaking.,Let him know it's Miller speaking.
那只是夏普试图打败我的方式。 That was just sharpe's way of trying to beat me down.,That was just Sharpe's way of trying to beat me down.
"在我让他碰我之前，我先去找海默。 Before I'd let him touch me, I'll go back to heimer's.","Before I'd let him touch me, I'll go back to Heimer's."
我想你现在得去那里了。 I guess that's where you'll have to go now.,I guess that's where you'll have to go now.
表演太精彩了。 And the act was going so grand.,And the act was going so grand.
我知道它。 I know it.,I know it.
你在海默那里可得不到那样的掌声。 You won't get applause like that down at heimer's.,You won't get applause like that down at Heimer's.
"哦,哎呀,妈。 我很抱歉。","Aw, gee, Ma."
"Aw, gee, ma. I'm sorry.",I'm sorry.
你进来的时候我不是叫你敲门吗! I thought I told you to knock when you came in here!,I thought I told you to knock when you came in here!
格洛里亚! Gloria!,Gloria!
"歌洛莉亚，你为什么总是找我的茬? Now, Gloria, why do you always pick on me?","Now, Gloria, why do you always pick on me?"
"米勒先生，你不了解格洛丽亚。 Mr. Miller, you don't understand Gloria.","Mr. Miller, you don't understand Gloria."
"她只是跟你玩，不是欺负你。 She was only playing with you, not picking on you.","She was only playing with you, not picking on you."
"-是吗，歌洛莉亚? ——嗯。 - Weren't you, Gloria?","""Weren't you, Gloria?"
- Uh -huh.,"Uh-huh,"
"听你这么说我很高兴。 Well, I'm certainly glad to hear that.","Well, I'm certainly glad to hear that."
"有一段时间，她骗过了我。 For a while, she had me fooled.","For a while, she had me fooled."
休斯太太，歌洛莉亚和我有点小口角。,"You know, Mrs. Hughes,"
"You know, Mrs. Hughes, Gloria and I just had a little spat.",Gloria and I just had a little spat.
"哦，米勒先生，那没什么。 Oh, Mr. Miller, that isn't anything.","Oh, Mr. Miller, that isn't anything."
每个人都时不时地发生口角。 Everybody has a spat now and then.,Everybody has a spat now and then.
